model,r2_train,r2,mae,rmse
Ridge Regression (Baseline),0.7358631070964179,0.7751938831468006,91838254.88102861,163254847.94825783
K-Nearest Neighbors (KNN),0.831479520205846,0.7464682499544968,78233579.56571428,173371697.6851299
Decision Tree Regressor,0.995191294889795,0.7451649279113265,77521462.10986394,173816749.44709116
Gradient Boosting Regressor,0.8428247816174983,0.8395349832795436,79976718.28598271,137927926.56865674
Random Forest Regressor,0.9692963740582373,0.8846489913558095,61800457.93727582,116942593.9806107
