model,r2_train,r2,mae,rmse
Ridge Regression (Baseline),0.7658667987297518,0.6609370983278222,104385116.60188062,204301600.88764498
K-Nearest Neighbors (KNN),0.8569331393906524,0.6760030189003987,82111887.62572615,199711058.8937769
Decision Tree Regressor,0.9947830547525358,0.7910913246864808,75135051.09439833,160365103.97048363
Gradient Boosting Regressor,0.8653780964833162,0.752107859113823,84426317.35668464,174687975.48024398
Random Forest Regressor,0.9738341747996072,0.8080380954427355,64242412.73183171,153723108.3940082
